,open,high,low,close,volume,value,middle
2017-10-01 09:00:00,4889000,4978000,4682000,4962000,27.32333246,133132538.9,4830000
2017-10-02 09:00:00,4962000,5095000,4956000,5025000,31.72800385,159931532.8,5025500
2017-10-03 09:00:00,5021000,5079000,4811000,4964000,11.89930699,58901304.62,4945000
2017-10-04 09:00:00,4987000,5002000,4837000,4895000,7.03874388,34588125.3,4919500
2017-10-05 09:00:00,4894000,4993000,4811000,4926000,5.36365175,26371319.19,4902000
2017-10-06 09:00:00,4927000,5034000,4885000,5027000,25.16382027,123935127.5,4959500
2017-10-07 09:00:00,4983000,5070000,4935000,5047000,4.343932,21667485.97,5002500
2017-10-08 09:00:00,5044000,5263000,4993000,5217000,145.9178596,738294004.5,5128000
2017-10-09 09:00:00,5222000,5761000,5188000,5477000,8.07043419,43270591.14,5474500
2017-10-10 09:00:00,5469000,5665000,5459000,5486000,11.69369387,64822758.51,5562000
2017-10-11 09:00:00,5533000,5605000,5451000,5557000,4.21265003,23324891.84,5528000
2017-10-12 09:00:00,5569000,6377000,5515000,6332000,20.91828711,118992387,5946000
2017-10-13 09:00:00,6346000,6950000,6149000,6438000,26.82608423,175283223.8,6549500
2017-10-14 09:00:00,6427000,6664000,6322000,6664000,3.35282452,21713362.01,6493000
2017-10-15 09:00:00,6610000,6700000,6142000,6381000,7.63078273,48606365.59,6421000
2017-10-16 09:00:00,6403000,6527000,6282000,6491000,22.92663476,146271226.2,6404500
2017-10-17 09:00:00,6495000,6510000,6299000,6457000,4.24133721,27260409.2,6404500
2017-10-18 09:00:00,6413000,6489000,5876000,6391000,36.00111898,219208847.5,6182500
2017-10-19 09:00:00,6405000,6596000,6109000,6511000,11.95565558,76025647.17,6352500
2017-10-20 09:00:00,6536000,6954000,6395000,6928000,21.97426401,145159280.7,6674500
2017-10-21 09:00:00,6928000,7253000,6773000,6874000,5.46210809,38250145.45,7013000
2017-10-22 09:00:00,6858000,7060000,6709000,7039000,4.39101644,30054045.85,6884500
2017-10-23 09:00:00,7017000,7100000,6668000,6971000,14.03934445,97052524.49,6884000
2017-10-24 09:00:00,7034000,7052000,6350000,6479000,98.6742294,651377192.1,6701000
2017-10-25 09:00:00,6479000,6644000,6212000,6643000,108.3639736,695968675,6428000
2017-10-26 09:00:00,6643000,6873000,6534000,6811000,428.5085197,2881467622,6703500
2017-10-27 09:00:00,6765000,6950000,6633000,6710000,431.2041296,2917092204,6791500
2017-10-28 09:00:00,6708000,6800000,6600000,6715000,404.1956362,2708305313,6700000
2017-10-29 09:00:00,6715000,7030000,6588000,6961000,656.2798937,4413173510,6809000
2017-10-30 09:00:00,6961000,7007000,6809000,6964000,521.8462842,3621429304,6908000
2017-10-31 09:00:00,6965000,7479000,6965000,7422000,1170.548125,8331387759,7222000
2017-11-01 09:00:00,7422000,7799000,7256000,7798000,1164.450599,8657129768,7527500
2017-11-02 09:00:00,7790000,8596000,7500000,8217000,1806.67768,14621738292,8048000
2017-11-03 09:00:00,8219000,8478000,8000000,8143000,1025.404587,8480692937,8239000
2017-11-04 09:00:00,8136000,8400000,7560000,8346000,881.5985132,7137573137,7980000
2017-11-05 09:00:00,8345000,8620000,8280000,8453000,993.499542,8409963563,8450000
2017-11-06 09:00:00,8454000,8480000,8030000,8060000,1914.096072,15924418603,8255000
2017-11-07 09:00:00,8060000,8413000,8050000,8243000,1858.955895,15264884249,8231500
2017-11-08 09:00:00,8244000,8639000,8060000,8339000,2280.720492,18964680865,8349500
2017-11-09 09:00:00,8338000,8340000,8041000,8148000,2491.809101,20397973001,8190500
2017-11-10 09:00:00,8150000,8240000,7320000,7541000,3612.895643,28271699640,7780000
2017-11-11 09:00:00,7541000,7897000,7009000,7231000,3407.257305,25386732063,7453000
